Date,Price
2022-03-31,426.27685546875
2022-04-01,427.4849853515625
2022-04-04,431.1470642089844
2022-04-05,425.7010498046875
2022-04-06,421.4443359375
2022-04-07,423.5680236816406
2022-04-08,422.4354553222656
2022-04-11,415.2150573730469
2022-04-12,413.6766357421875
2022-04-13,418.4146423339844
2022-04-14,413.2047119140625
2022-04-18,413.3745422363281
2022-04-19,420.0475158691406
2022-04-20,419.7359924316406
2022-04-21,413.45947265625
2022-04-22,402.114501953125
2022-04-25,404.4457702636719
2022-04-26,392.7326965332031
2022-04-27,393.8370361328125
2022-04-28,403.78509521484375
2022-04-29,388.863037109375
2022-05-02,391.2037353515625
2022-05-03,392.9969482421875
2022-05-04,404.96490478515625
2022-05-05,390.57135009765625
2022-05-06,388.2400207519531
2022-05-09,375.80963134765625
2022-05-10,376.677978515625
2022-05-11,370.6940307617188
2022-05-12,370.3069763183594
2022-05-13,379.1602783203125
2022-05-16,377.6217956542969
2022-05-17,385.38970947265625
2022-05-18,369.85394287109375
2022-05-19,367.5888366699219
2022-05-20,367.7491760253906
2022-05-23,374.6298828125
2022-05-24,371.7700500488281
2022-05-25,375.0545654296875
2022-05-26,382.5487365722656
2022-05-27,391.9400024414063
2022-05-31,389.74072265625
2022-06-01,386.5882873535156
2022-06-02,393.9503173828125
2022-06-03,387.48486328125
2022-06-06,388.664794921875
2022-06-07,392.3929748535156
2022-06-08,388.1267395019531
2022-06-09,378.89599609375
2022-06-10,367.9096374511719
2022-06-13,353.9407958984375
2022-06-14,352.874267578125
2022-06-15,357.9049987792969
2022-06-16,346.0596923828125
2022-06-17,346.8056945800781
2022-06-21,355.5361328125
2022-06-22,354.8915405273437
2022-06-23,358.370361328125
2022-06-24,369.7643432617188
2022-06-27,368.3518981933594
2022-06-28,360.825439453125
2022-06-29,360.5316467285156
2022-06-30,357.60260009765625
2022-07-01,361.3847351074219
2022-07-05,362.0671997070313
2022-07-06,363.2900695800781
2022-07-07,368.7311096191406
2022-07-08,368.4278564453125
2022-07-11,364.2190551757813
2022-07-12,360.9961242675781
2022-07-13,359.1002502441406
2022-07-14,358.2281494140625
2022-07-15,365.0721435546875
2022-07-18,362.0577697753906
2022-07-19,371.84027099609375
2022-07-20,374.2101440429688
2022-07-21,378.020751953125
2022-07-22,374.513427734375
2022-07-25,374.9684143066406
2022-07-26,370.5321350097656
2022-07-27,380.153564453125
2022-07-28,384.9216003417969
2022-07-29,390.5332946777344
2022-08-01,389.3768005371094
2022-08-02,386.8079223632813
2022-08-03,392.8651123046875
2022-08-04,392.5997619628906
2022-08-05,391.9362182617188
2022-08-08,391.4811706542969
2022-08-09,389.9266052246094
2022-08-10,398.1165466308594
2022-08-11,398.1165466308594
2022-08-12,404.85638427734375
2022-08-15,406.524658203125
2022-08-16,407.3208923339844
2022-08-17,404.42974853515625
2022-08-18,405.6051940917969
2022-08-19,400.1546630859375
2022-08-22,391.8224182128906
2022-08-23,390.87451171875
2022-08-24,392.1258239746094
2022-08-25,397.6616516113281
2022-08-26,384.2012023925781
2022-08-29,381.6607666015625
2022-08-30,377.470947265625
2022-08-31,374.5987243652344
2022-09-01,375.774169921875
2022-09-02,371.8118286132813
2022-09-06,370.4089660644531
2022-09-07,377.0633239746094
2022-09-08,379.5279541015625
2022-09-09,385.4240112304688
2022-09-12,389.56634521484375
2022-09-13,372.6271057128906
2022-09-14,374.0489807128906
2022-09-15,369.8022766113281
2022-09-16,366.9811096191406
2022-09-19,369.826904296875
2022-09-20,365.58197021484375
2022-09-21,359.2047424316406
2022-09-22,356.1875915527344
2022-09-23,350.2196960449219
2022-09-26,346.7550354003906
2022-09-27,345.8699035644531
2022-09-28,352.67529296875
2022-09-29,345.30828857421875
2022-09-30,339.9685974121094
2022-10-03,348.9442749023437
2022-10-04,359.7568359375
2022-10-05,358.9192810058594
2022-10-06,355.2167053222656
2022-10-07,345.30828857421875
2022-10-10,342.6717834472656
2022-10-11,340.5016174316406
2022-10-12,339.3785095214844
2022-10-13,348.3350524902344
2022-10-14,340.3968811035156
2022-10-17,349.14410400390625
2022-10-18,353.2463684082031
2022-10-19,350.7431335449219
2022-10-20,347.8020935058594
2022-10-21,356.2541809082031
2022-10-24,360.6133728027344
2022-10-25,366.3719177246094
2022-10-26,363.6116943359375
2022-10-27,361.66998291015625
2022-10-28,370.2743835449219
2022-10-31,367.5997314453125
2022-11-01,365.9911804199219
2022-11-02,356.8062438964844
2022-11-03,353.1322631835937
2022-11-04,358.21484375
2022-11-07,361.6414184570313
2022-11-08,363.5926513671875
2022-11-09,356.10186767578125
2022-11-10,375.6711120605469
2022-11-11,379.30706787109375
2022-11-14,376.0804443359375
2022-11-15,379.2879943847656
2022-11-16,376.3945617675781
2022-11-17,375.2427978515625
2022-11-18,376.9466552734375
2022-11-21,375.5759582519531
2022-11-22,380.6300964355469
2022-11-23,383.0287170410156
2022-11-25,382.9429931640625
2022-11-28,376.8323364257813
2022-11-29,376.18505859375
2022-11-30,388.0351867675781
2022-12-01,387.7496032714844
2022-12-02,387.3022766113281
2022-12-05,380.3350830078125
2022-12-06,374.8525695800781
2022-12-07,374.21484375
2022-12-08,377.1464538574219
2022-12-09,374.3291015625
2022-12-12,379.7259216308594
2022-12-13,382.600341796875
2022-12-14,380.1541748046875
2022-12-15,370.85498046875
2022-12-16,366.47662353515625
2022-12-19,363.3690185546875
2022-12-20,363.8662414550781
2022-12-21,369.3069763183594
2022-12-22,364.038330078125
2022-12-23,366.1324157714844
2022-12-27,364.6885681152344
2022-12-28,360.1562194824219
2022-12-29,366.63916015625
2022-12-30,365.6734313964844
2023-01-03,364.1340026855469
2023-01-04,366.9450988769531
2023-01-05,362.7571105957031
2023-01-06,371.0758666992188
2023-01-09,370.8654174804688
2023-01-10,373.4663391113281
2023-01-11,378.1898498535156
2023-01-12,379.5667724609375
2023-01-13,381.039306640625
2023-01-17,380.3412170410156
2023-01-18,374.3364562988281
2023-01-19,371.6112976074219
2023-01-20,378.5340881347656
2023-01-23,383.0759887695313
2023-01-24,382.664794921875
2023-01-25,382.8081970214844
2023-01-26,387.0154418945313
2023-01-27,387.9046936035156
2023-01-30,383.0377197265625
2023-01-31,388.6695861816406
2023-02-01,392.8003540039063
2023-02-02,398.518310546875
2023-02-03,394.2824401855469
2023-02-06,391.872802734375
2023-02-07,396.99798583984375
2023-02-08,392.6568908691406
2023-02-09,389.2528991699219
2023-02-10,390.1612854003906
2023-02-13,394.7413940429688
2023-02-14,394.5597534179688
2023-02-15,395.841064453125
2023-02-16,390.3907775878906
2023-02-17,389.41552734375
2023-02-21,381.60345458984375
2023-02-22,381.07757568359375
2023-02-23,383.1046752929688
2023-02-24,379.01214599609375
2023-02-27,380.3030700683594
2023-02-28,378.8974609375
2023-03-01,377.4440307617188
2023-03-02,380.3795471191406
2023-03-03,386.47998046875
2023-03-06,386.7476806640625
2023-03-07,380.8193664550781
2023-03-08,381.44085693359375
2023-03-09,374.40338134765625
2023-03-10,369.00091552734375
2023-03-13,368.47503662109375
2023-03-14,374.56591796875
2023-03-15,372.2232971191406
2023-03-16,378.75396728515625
2023-03-17,374.3253479003906
2023-03-20,377.92474365234375
2023-03-21,382.8870849609375
2023-03-22,376.3601684570313
2023-03-23,377.3776245117188
2023-03-24,379.8539733886719
2023-03-27,380.5642395019531
2023-03-28,379.7099914550781
2023-03-29,385.22900390625
2023-03-30,387.4846496582031
2023-03-31,392.946044921875
2023-04-03,394.4434509277344
2023-04-04,392.2550659179688
2023-04-05,391.2279968261719
2023-04-06,392.7542114257813
2023-04-10,393.15728759765625
2023-04-11,393.2628479003906
2023-04-12,391.659912109375
2023-04-13,396.86224365234375
2023-04-14,395.8927307128906
2023-04-17,397.3133544921875
2023-04-18,397.5725402832031
2023-04-19,397.5053405761719
2023-04-20,395.3361511230469
2023-04-21,395.643310546875
2023-04-24,396.0560302734375
2023-04-25,389.7691040039063
2023-04-26,388.1181945800781
2023-04-27,395.84478759765625
2023-04-28,399.2234802246094
2023-05-01,398.8203125
2023-05-02,394.337890625
2023-05-03,391.6311950683594
2023-05-04,388.857177734375
2023-05-05,396.0560302734375
2023-05-08,396.16156005859375
2023-05-09,394.42425537109375
2023-05-10,396.26708984375
2023-05-11,395.57611083984375
2023-05-12,395.0577392578125
2023-05-15,396.4206848144531
2023-05-16,393.7716064453125
2023-05-17,398.551513671875
2023-05-18,402.3908996582031
2023-05-19,401.8053283691406
2023-05-22,401.968505859375
2023-05-23,397.4573059082031
2023-05-24,394.5778198242188
2023-05-25,397.9948120117188
2023-05-26,403.1491394042969
2023-05-30,403.3027038574219
2023-05-31,401.0663146972656
2023-06-01,404.8768615722656
2023-06-02,410.7318420410156
2023-06-05,409.9447937011719
2023-06-06,410.83740234375
2023-06-07,409.4168701171875
2023-06-08,411.8931884765625
2023-06-09,412.63232421875
2023-06-12,416.3756408691406
2023-06-13,419.1207275390625
2023-06-14,419.6198425292969
2023-06-15,424.82220458984375
2023-06-16,423.3751220703125
2023-06-20,421.1785278320313
2023-06-21,419.02056884765625
2023-06-22,420.5331115722656
2023-06-23,417.3538818359375
2023-06-26,415.648681640625
2023-06-27,420.20556640625
2023-06-28,420.4175415039063
2023-06-29,422.0745544433594
2023-06-30,427.0553283691406
2023-07-03,427.5467224121094
2023-07-05,426.9107971191406
2023-07-06,423.56781005859375
2023-07-07,422.4983825683594
2023-07-10,423.56781005859375
2023-07-11,426.2653198242188
2023-07-12,429.695068359375
2023-07-13,433.10540771484375
2023-07-14,432.835693359375
2023-07-17,434.3386535644531
2023-07-18,437.5660095214844
2023-07-19,438.5390319824219
2023-07-20,435.6295776367188
2023-07-21,435.6295776367188
2023-07-24,437.5756530761719
2023-07-25,438.770263671875
2023-07-26,438.8376770019531
2023-07-27,435.9281921386719
2023-07-28,440.1961669921875
2023-07-31,441.03424072265625
2023-08-01,439.7721557617188
2023-08-02,433.6546020507813
