date,price,sma,signal,trend_following,buy_and_hold
2022-01-13,437.0851440429688,412.2501776123047,1,106984.70665443504,106984.70665443504
2022-01-14,437.2639465332031,412.57049041748047,1,107028.47188468254,107028.47188468254
2022-01-18,429.5201110839844,412.8253007507324,1,105133.02433812068,105133.02433812068
2022-01-19,425.0601806640625,413.0589289855957,1,104041.37353694948,104041.37353694948
2022-01-20,420.3556518554688,413.2668455505371,1,102889.85273741104,102889.85273741104
2022-01-21,412.1037902832031,413.4245129394531,1,100870.05636205067,100870.05636205067
2022-01-24,413.8539123535156,413.57709716796876,0,100837.39590955892,101298.43124244567
2022-01-25,408.8010864257813,413.70371826171873,1,100827.3131782411,100061.6582543401
2022-01-26,407.7755432128906,413.8195289611816,0,100564.31422468116,99810.63750635106
2022-01-27,405.761962890625,413.93183959960936,0,100564.31422468116,99317.77632578083
2022-01-28,415.8392028808594,414.0739486694336,0,100564.31422468116,101784.36797030394
2022-01-31,423.3289184570313,414.24703170776365,1,100554.25879880128,103617.61495836248
2022-02-01,426.1893310546875,414.44396545410154,1,101233.69896004618,104317.75406590628
2022-02-02,430.3292846679688,414.67575927734373,1,102217.07134235882,105331.08460096635
2022-02-03,420.2144470214844,414.8388130187988,1,99814.47147717694,102855.29023180337
2022-02-04,422.19049072265625,415.02944686889646,1,100283.8455290362,103338.9636272218
2022-02-07,420.8355102539063,415.19248489379885,1,99961.99400701259,103007.30699247365
2022-02-08,424.298095703125,415.3687837219238,1,100784.469623946,103854.83908913571
2022-02-09,430.5081176757813,415.5765516662598,1,102259.5499441394,105374.8573009579
2022-02-10,422.7738037109375,415.74620712280273,1,100422.40115948574,103481.74031453209
2022-02-11,414.437255859375,415.86178985595706,1,98442.20242132725,101441.21539949998
2022-02-14,413.0823059082031,415.9834536743164,0,98110.54611239697,101109.56623449584
2022-02-15,419.7440185546875,416.1342335510254,0,98110.54611239697,102740.14412764474
2022-02-16,420.2144470214844,416.2993832397461,1,98100.7360387931,102855.29023180337
2022-02-17,411.2381286621094,416.419045715332,1,96005.17877222392,100658.16960301314
2022-02-18,408.5752868652344,416.5099299621582,0,95373.9893979766,100006.38961829274
2022-02-22,404.1905517578125,416.5646839904785,0,95373.9893979766,98933.14426640127
2022-02-23,397.0208435058594,416.60305923461914,0,95373.9893979766,97178.2250141979
2022-02-24,402.9956665039063,416.6886824035644,0,95373.9893979766,98640.67390881278
2022-02-25,411.8873291015625,416.85975372314454,0,95373.9893979766,100817.07346767526
2022-02-28,410.8335266113281,417.0028720092773,0,95373.9893979766,100559.13573671831
2022-03-01,404.5763854980469,417.0853596496582,0,95373.9893979766,99027.58424012021
2022-03-02,412.01898193359375,417.2099975585937,0,95373.9893979766,100849.29794340281
2022-03-03,409.96783447265625,417.34105499267577,0,95373.9893979766,100347.24150793675
2022-03-04,406.636962890625,417.46048919677736,0,95373.9893979766,99531.94882649028
2022-03-07,394.6497192382813,417.49939910888673,0,95373.9893979766,96597.84831262071
2022-03-08,391.6575622558594,417.5249319458008,0,95373.9893979766,95865.46232011725
2022-03-09,402.15826416015625,417.5832647705078,0,95373.9893979766,98435.70413274318
2022-03-10,400.3421936035156,417.63684967041013,0,95373.9893979766,97991.1871355083
2022-03-11,395.25189208984375,417.6611169433594,0,95373.9893979766,96745.24130173896
2022-03-14,392.36322021484375,417.66991622924803,0,95373.9893979766,96038.18521122719
2022-03-15,400.991455078125,417.7183630371094,0,95373.9893979766,98150.10593965846
2022-03-16,409.8831787109375,417.8129917907715,0,95373.9893979766,100326.52043800901
2022-03-17,415.0111999511719,417.9301863098145,0,95373.9893979766,101581.69887539432
2022-03-18,419.5567321777344,418.07737518310546,0,95373.9893979766,102694.30230855805
2022-03-21,419.4340515136719,418.20611038208006,1,95364.45295268134,102664.2739375741
2022-03-22,424.3419494628906,418.36129486083985,1,96480.33517870889,103865.57311130088
2022-03-23,418.8771667480469,418.48873626708985,1,95237.83707388023,102527.96604859021
2022-03-24,425.1914978027344,418.65068389892576,1,96673.49239232492,104073.51584549276
2022-03-25,427.2678833007813,418.81388397216796,1,97145.58893867237,104581.74975926823
2022-03-28,430.3070983886719,418.98901931762697,1,97836.59884408243,105325.65409705954
2022-03-29,435.6303405761719,419.18634567260744,1,99046.91564433636,106628.61648697828
2022-03-30,432.9404296875,419.37385650634764,1,98435.32514646451,105970.21083930694
2022-03-31,426.27685546875,419.53908828735354,1,96920.26429771516,104339.17729177244
2022-04-01,427.4849853515625,419.711012878418,1,97194.95025836717,104634.88951826817
2022-04-04,431.1470642089844,419.92776321411134,1,98027.57733203298,105531.2513316273
2022-04-05,425.7010498046875,420.0895249938965,1,96789.34647651727,104198.23816149254
2022-04-06,421.4443359375,420.2194885253906,1,95821.52045510708,103156.32838578954
2022-04-07,423.5680236816406,420.3624540710449,1,96304.37185744652,103676.14040280507
2022-04-08,422.4354553222656,420.48807403564456,1,96046.86591191459,103398.92326251738
2022-04-11,415.2150573730469,420.5705355834961,1,94405.20306159767,101631.59676548706
2022-04-12,413.6766357421875,420.6412855529785,0,94046.01490960937,101255.03949939946
2022-04-13,418.4146423339844,420.73465072631836,0,94046.01490960937,102414.75460813427
2022-04-14,413.2047119140625,420.80028411865237,0,94046.01490960937,101139.52737778357
2022-04-18,413.3745422363281,420.85569107055665,0,94046.01490960937,101181.09650328747
2022-04-19,420.0475158691406,420.9290881347656,0,94046.01490960937,102814.43073198192
2022-04-20,419.7359924316406,421.0046197509766,0,94046.01490960937,102738.17958496595
2022-04-21,413.45947265625,421.04161911010743,0,94046.01490960937,101201.88480091144
2022-04-22,402.114501953125,421.03843643188475,0,94046.01490960937,98424.9925198101
2022-04-25,404.4457702636719,421.0254133605957,0,94046.01490960937,98995.61373568953
2022-04-26,392.7326965332031,420.94653518676756,0,94046.01490960937,96128.62140214827
2022-04-27,393.8370361328125,420.8801414489746,0,94046.01490960937,96398.92902921206
2022-04-28,403.78509521484375,420.86045043945313,0,94046.01490960937,98833.90124727371
2022-04-29,388.863037109375,420.7731121826172,0,94046.01490960937,95181.45038992526
2022-05-02,391.2037353515625,420.7134129333496,0,94046.01490960937,95754.37975670869
2022-05-03,392.9969482421875,420.6924475097656,0,94046.01490960937,96193.3019156682
2022-05-04,404.96490478515625,420.702862701416,0,94046.01490960937,99122.68155131344
2022-05-05,390.57135009765625,420.6250001525879,0,94046.01490960937,95599.59172100482
2022-05-06,388.2400207519531,420.53122863769534,0,94046.01490960937,95028.95556563734
